ID,Classifier,Ranker,AttributesNum,Attributes,FPR_type1err,FNR_type2err,ROC_Area
0,NaiveBayes,None,0,,0.153,0.261,0.85
61,5NN,None,0,,0.097,0.391,0.863
1,NaiveBayes,GainRatio,5,GENE3941X;GENE3944X;GENE3755X;GENE1125X;GENE3753X,0.167,0.478,0.812
19,NaiveBayes,SymmetricUncertainty,100,GENE3941X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE1567X;GENE384X;GENE1610X;GENE3944X;GENE3755X;GENE3945X;GENE2760X;GENE3754X;GENE3943X;GENE597X;GENE1125X;GENE3753X;GENE374X;GENE390X;GENE3258X;GENE639X;GENE2380X;GENE3176X;GENE3573X;GENE3946X;GENE1676X;GENE593X;GENE3898X;GENE1673X;GENE1741X;GENE1296X;GENE473X;GENE3968X;GENE635X;GENE378X;GENE472X;GENE520X;GENE379X;GENE3939X;GENE598X;GENE513X;GENE3642X;GENE567X;GENE568X;GENE2190X;GENE3588X;GENE1672X;GENE610X;GENE938X;GENE2758X;GENE1622X;GENE3932X;GENE2186X;GENE1656X;GENE3461X;GENE3574X;GENE2105X;GENE2759X;GENE514X;GENE1214X;GENE1612X;GENE3940X;GENE636X;GENE455X;GENE3641X;GENE512X;GENE655X;GENE500X;GENE2113X;GENE86X;GENE1080X;GENE946X;GENE2512X;GENE2238X;GENE717X;GENE737X;GENE1776X;GENE569X;GENE626X;GENE1617X;GENE3965X;GENE662X;GENE2460X;GENE3335X;GENE2550X;GENE555X;GENE377X;GENE1578X;GENE1690X;GENE558X;GENE1212X;GENE1618X;GENE2464X;GENE3259X;GENE1620X;GENE518X;GENE2106X;GENE585X;GENE187X;GENE1615X,0.139,0.043,0.949
13,NaiveBayes,SymmetricUncertainty,7,GENE3941X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE1567X;GENE384X,0.167,0.174,0.905
62,5NN,GainRatio,5,GENE3941X;GENE3944X;GENE3755X;GENE1125X;GENE3753X,0.014,0.696,0.753
67,5NN,GainRatio,10,GENE3941X;GENE3944X;GENE3755X;GENE1125X;GENE3753X;GENE3754X;GENE3176X;GENE3588X;GENE1567X;GENE854X,0.028,0.609,0.789
54,NaiveBayes,ChiSquared,8,GENE1610X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE384X;GENE3941X;GENE3945X,0.194,0.174,0.899
5,NaiveBayes,GainRatio,9,GENE3941X;GENE3944X;GENE3755X;GENE1125X;GENE3753X;GENE3754X;GENE3176X;GENE3588X;GENE1567X,0.153,0.391,0.835
4,NaiveBayes,GainRatio,8,GENE3941X;GENE3944X;GENE3755X;GENE1125X;GENE3753X;GENE3754X;GENE3176X;GENE3588X,0.111,0.435,0.819
75,5NN,SymmetricUncertainty,8,GENE3941X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE1567X;GENE384X;GENE1610X,0.069,0.348,0.902
12,NaiveBayes,SymmetricUncertainty,6,GENE3941X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE1567X,0.139,0.174,0.903
17,NaiveBayes,SymmetricUncertainty,20,GENE3941X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE1567X;GENE384X;GENE1610X;GENE3944X;GENE3755X;GENE3945X;GENE2760X;GENE3754X;GENE3943X;GENE597X;GENE1125X;GENE3753X;GENE374X;GENE390X;GENE3258X,0.111,0.174,0.933
44,NaiveBayes,InformationGain,8,GENE1610X;GENE3943X;GENE493X;GENE390X;GENE1537X;GENE1609X;GENE384X;GENE2760X,0.097,0.391,0.864
18,NaiveBayes,SymmetricUncertainty,50,GENE3941X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE1567X;GENE384X;GENE1610X;GENE3944X;GENE3755X;GENE3945X;GENE2760X;GENE3754X;GENE3943X;GENE597X;GENE1125X;GENE3753X;GENE374X;GENE390X;GENE3258X;GENE639X;GENE2380X;GENE3176X;GENE3573X;GENE3946X;GENE1676X;GENE593X;GENE3898X;GENE1673X;GENE1741X;GENE1296X;GENE473X;GENE3968X;GENE635X;GENE378X;GENE472X;GENE520X;GENE379X;GENE3939X;GENE598X;GENE513X;GENE3642X;GENE567X;GENE568X;GENE2190X;GENE3588X;GENE1672X;GENE610X;GENE938X;GENE2758X,0.125,0.087,0.943
72,5NN,SymmetricUncertainty,5,GENE3941X;GENE1609X;GENE1537X;GENE385X;GENE493X,0.014,0.478,0.853
11,NaiveBayes,SymmetricUncertainty,5,GENE3941X;GENE1609X;GENE1537X;GENE385X;GENE493X,0.111,0.304,0.887
16,NaiveBayes,SymmetricUncertainty,10,GENE3941X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE1567X;GENE384X;GENE1610X;GENE3944X;GENE3755X,0.167,0.13,0.902
14,NaiveBayes,SymmetricUncertainty,8,GENE3941X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE1567X;GENE384X;GENE1610X,0.153,0.13,0.921
65,5NN,GainRatio,8,GENE3941X;GENE3944X;GENE3755X;GENE1125X;GENE3753X;GENE3754X;GENE3176X;GENE3588X,0.069,0.739,0.794
